"initial";"final";"count";"time";"imp";"inum";"n";"w";"type"
83873134;14839297;696;6.30449390411;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.19076681137;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.3828167915;23.931378199050787;7;1;1;"dvnd"
558778;141835;95;1.23323202133;3.939634081855677;0;1;1;"dvnd"
8670796;999119;199;1.50235199928;8.678441707143994;1;1;1;"dvnd"
13437654;7193052;98;1.36100506783;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.489787817;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.96691799164;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.3072719574;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.20094895363;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.3692250252;23.931378199050787;7;1;1;"dvnd"
558778;141835;95;1.26191997528;3.939634081855677;0;1;1;"dvnd"
8670796;1042152;176;1.47267103195;8.320087664755237;1;1;1;"dvnd"
13437654;7193052;98;1.32840800285;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.46907305717;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.97096395493;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.29133892059;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.19241213799;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.3915529251;23.931378199050787;7;1;1;"dvnd"
558778;141835;95;1.22678089142;3.939634081855677;0;1;1;"dvnd"
8670796;1030139;161;1.43061995506;8.41711264208034;1;1;1;"dvnd"
13437654;7193052;98;1.35089612007;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.46177196503;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.94281792641;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.33439302444;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.19576001167;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.3913359642;23.931378199050787;7;1;1;"dvnd"
558778;140526;101;1.27415013313;3.9763317820189856;0;1;1;"dvnd"
8670796;999543;198;1.50136709213;8.674760365487028;1;1;1;"dvnd"
13437654;7193052;98;1.34825205803;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.46422696114;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.95961213112;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.32738494873;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.17095208168;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.3729867935;23.931378199050787;7;1;1;"dvnd"
558778;140446;100;1.25463485718;3.978596756048588;0;1;1;"dvnd"
8670796;1008167;191;1.54721617699;8.600555265149524;1;1;1;"dvnd"
13437654;7193052;98;1.330327034;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.45703887939;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.96365094185;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.36659884453;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.19695901871;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.362112999;23.931378199050787;7;1;1;"dvnd"
558778;141835;95;1.27229213715;3.939634081855677;0;1;1;"dvnd"
8670796;999543;198;1.51530194283;8.674760365487028;1;1;1;"dvnd"
13437654;7193052;98;1.33951377869;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.47722697258;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.96065592766;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.32713198662;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.20886683464;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.3746168613;23.931378199050787;7;1;1;"dvnd"
558778;141835;95;1.24307084084;3.939634081855677;0;1;1;"dvnd"
8670796;1028113;206;1.51761102676;8.433699408528051;1;1;1;"dvnd"
